Ticker,Status,Gates_Passed,Close,EMA_200,RSI,ADX,OBV,OBV_EMA_20,MACD_Line,Signal_Line,ATR,Aroon_Up,Aroon_Down,RSI_Score,ADX_Score,OBV_Score,Structural_Score,Aroon_Score,Final_Mo_Score
006400.KS,Disqualified,+DI <= -DI | MACD fails conditions,455000.0,418946.21126070444,35.51630780212844,17.37607002221379,42264927.0,42517603.17058951,-31124.67393491912,-22885.958907456894,43699.42537871933,64.28571428571429,100.0,0,0,0,0,0,0
1211,Disqualified,Insufficient History (<250 bars),,,,,,,,,,,,,,,,0
2308.TW,Disqualified,+DI <= -DI | MACD fails conditions,1810.0,1464.2683897756158,31.73425313854777,21.09966681603881,336575452.0,398220756.0996812,-52.58530480971331,1.0549000632022167,119.33051222294507,14.285714285714285,100.0,0,0,0,0,0,0
300750.SZ,Disqualified,+DI <= -DI | MACD fails conditions,381.0,371.8374669857343,40.52740594716663,11.398678983476202,207068246.0,211392691.6680471,-6.362724938631004,-5.919785715439267,16.398530027623643,78.57142857142857,28.57142857142857,0,0,0,0,0,0
336260.KS,Disqualified,+DI <= -DI | MACD fails conditions,51800.0,47697.881457931835,30.468198179188676,24.052338358152955,98812470.0,100242233.32610929,-5517.7742605995445,-2470.7513023470933,7599.23889335381,42.857142857142854,100.0,0,0,0,0,0,0
3407.T,Disqualified,MACD fails conditions,1794.0,1496.3677711497708,57.847372796042414,14.384531890133763,188686900.0,181603006.47847086,27.25175666486757,30.46275904082017,48.4383047226133,71.42857142857143,21.428571428571427,0,0,0,0,0,0
373220.KS,Disqualified,Price <= EMA_200 | +DI <= -DI | MACD fails conditions,331500.0,396231.7980188241,31.42754976865011,14.806273387763328,15195148.0,16362412.898497272,-18095.302696496947,-11545.684320910841,26444.4242435416,35.714285714285715,100.0,0,0,0,0,0,0
5801.T,Disqualified,+DI <= -DI | MACD fails conditions,4528.0,2916.2119878889807,45.98793922270056,14.110243225466776,2943072000.0,2948980988.306013,10.70613015527124,14.806462236737001,445.11523984844564,71.42857142857143,21.428571428571427,0,0,0,0,0,0
600900.SS,Disqualified,Price <= EMA_200 | +DI <= -DI | MACD fails conditions,26.649999618530273,27.351668907156416,42.774940552677016,22.26925428618241,-1231232498.0,-1028186603.6853783,-0.16691881712858958,-0.019183612964015648,0.43737886385901154,35.714285714285715,100.0,0,0,0,0,0,0
6981.T,Disqualified,MACD fails conditions,10770.0,5042.146720554246,57.30318196457378,47.264318588443466,760329300.0,660757418.5638692,1061.6553641502142,1111.8073478087372,1006.9076842659878,71.42857142857143,21.428571428571427,0,0,0,0,0,0
