Ticker,Live_Price,Action_Rank,Action_Status,Long_Term_Status,Entry_Timing_Status,Classification_Reason,Market_State,Regular_Market_Price,PreMarket_Price,PostMarket_Price,Extended_Hours_Change_Pct,Close,Score,Trend_Score,Relative_Strength_Score,Breakout_Score,Accumulation_Score,Volatility_Score,Weekly_Stage_Score,Weekly_Stage,Weekly_Close,Weekly_SMA_30,Weekly_SMA_30_Slope_Pct_10W,EMA_20,EMA_50,EMA_150,EMA_200,EMA_200_Slope_Pct_50D,Return_63D_Pct,Return_126D_Pct,Return_252D_Pct,Benchmark_Return_126D_Pct,RS_126D_Excess_Pct,RS_Ratio,RS_SMA_50,RS_SMA_200,RS_Slope_Pct_50D,Return_5D_Pct,Return_10D_Pct,High_20D,High_55D,High_100D,High_252D,Distance_From_20D_High_Pct,Distance_From_52W_High_Pct,Lower_High_Day,Lower_Low_Day,Close_Below_EMA20,ATR_14,ATR_Pct,Volume,Volume_Avg_50,Accumulation_Days_50,Distribution_Days_50,Net_Accumulation_50,Latest_Distribution_Day,Daily_Change_Pct,Last_3H_Return_Pct,Bearish_1H_Candles_Last3,Last_1H_Bearish
ATEN,36.59,1,Actionable Momentum Candidate,Momentum Candidate,Clean,,REGULAR,36.59,,,,36.59000015,100,30,25,20,15,10,15,Stage 2,34.97999954,23.30166645,21.47039927,32.84392168,30.02460019,24.89657319,23.57186432,22.27991964,63.78692884,103.2777786,91.97272391,7.055537766,96.22224086,0.049506824,0.040556908,0.031235605,30.98399871,8.350606031,15.20780821,36.63000107,36.63000107,36.63000107,36.63000107,-0.109202605,0.109202605,FALSE,FALSE,FALSE,1.455000196,3.97649683,604529,1156850.58,13,5,8,FALSE,4.602631879,1.273177611,0,FALSE
EXTR,32.23,1,Actionable Momentum Candidate,Momentum Candidate,Clean,,REGULAR,32.23,,,,32.22999954,100,30,25,20,15,7,15,Stage 2,31.73999977,19.18366674,14.50428834,30.01536771,26.30909006,21.25803817,20.3313746,23.18974968,111.2057605,91.95948651,79.35448399,7.055537766,84.90394874,0.043607678,0.034727633,0.027738948,74.84435332,1.193089972,3.600125072,32.43000031,32.43000031,32.43000031,32.43000031,-0.616715267,0.616715267,FALSE,FALSE,FALSE,1.461428642,4.534373761,937947,2715210.94,15,4,11,FALSE,1.543792611,3.235106506,0,FALSE
FFIV,413.051,1,Actionable Momentum Candidate,Momentum Candidate,Clean,,REGULAR,413.051,,,,413.0509949,100,30,25,20,11,10,15,Stage 2,394.5299988,306.517335,10.88264603,390.1905308,368.2841149,325.2990802,315.2836048,12.82142504,46.48236711,57.45473869,42.87972607,7.055537766,50.39920093,0.558864252,0.497664139,0.435330406,27.29100793,5.566745846,4.263679083,413.9899902,413.9899902,413.9899902,413.9899902,-0.226815958,0.226815958,FALSE,FALSE,FALSE,12.30642264,2.979395473,291352,726661.04,6,4,2,FALSE,4.694445581,1.269014986,0,FALSE
FROG,89.53,1,Actionable Momentum Candidate,Momentum Candidate,Clean,,REGULAR,89.53,,,,89.52999878,100,30,25,20,15,7,15,Stage 2,87.58000183,58.55316696,12.07455968,80.05175986,71.37673212,59.71190954,56.98143988,18.12630463,106.5997477,34.00688827,106.3854232,7.055537766,26.9513505,0.121135444,0.092979154,0.081137319,94.85532938,12.06659089,15.16593934,89.87000275,89.87000275,89.87000275,89.87000275,-0.378328649,0.378328649,FALSE,FALSE,FALSE,4.927857535,5.504141184,2749836,3008880.72,7,3,4,FALSE,2.226532208,0.788018613,1,FALSE
GEF-B,92.42,1,Actionable Momentum Candidate,Momentum Candidate,Clean,lower high and lower low | pullback on above-average volume | 2+ bearish hourly candles,REGULAR,92.42,,,,92.41999817,100,30,21,20,15,10,15,Stage 2,93.19999695,82.82833303,8.797593116,86.19154326,84.29714119,80.80486842,78.94279974,3.745381299,8.908788009,22.84991898,31.27840364,7.055537766,15.79438121,0.125045657,0.113238596,0.111481241,0.989336183,7.277999457,8.576122165,94.20999908,94.20999908,94.20999908,94.20999908,-1.900011605,1.900011605,TRUE,TRUE,FALSE,3.527500698,3.816815373,133696,66767.92,8,5,3,FALSE,-0.836908589,0.533011924,2,FALSE
KTCC,4.2,1,Actionable Momentum Candidate,Momentum Candidate,Clean,,REGULAR,4.2,,,,4.199999809,100,30,25,20,15,3,15,Stage 2,4.130000114,3.005000003,3.955258664,3.773007908,3.477699161,3.160371409,3.142725671,6.444029182,56.13381858,63.42412134,48.40989125,7.055537766,56.36858357,0.005682663,0.004594872,0.004405557,44.99263326,8.808288171,11.40583105,4.21999979,4.21999979,4.21999979,4.21999979,-0.473933221,0.473933221,FALSE,FALSE,FALSE,0.294992873,7.023640144,35841,21604.82,14,5,9,FALSE,1.694907818,0.96153758,0,FALSE
KYIV,15.28,1,Actionable Momentum Candidate,Momentum Candidate,Clean,lower high and lower low,REGULAR,15.28,,,,15.27999973,100,30,21,20,15,10,15,Stage 2,14.75,12.62566671,2.033834166,14.20624973,13.51878123,12.71243265,12.52915726,5.614166437,52.03979545,13.26908816,38.28053818,7.055537766,6.21355039,0.020674071,0.018264452,0.018216055,22.62187858,8.987155735,12.1056464,15.43999958,15.43999958,15.43999958,16.47999954,-1.03626847,7.281552443,TRUE,TRUE,FALSE,0.528214387,3.456900496,368175,612203.5,9,2,7,FALSE,3.593218529,0.131058347,1,FALSE
MOG-B,424.2,1,Actionable Momentum Candidate,Momentum Candidate,Clean,,REGULAR,424.2,,,,424.2000122,100,30,25,20,15,10,15,Stage 2,424.2000122,314.6470016,17.50176159,394.4932176,361.9931268,313.2817821,296.7842087,14.34098363,38.31556583,68.75522952,138.3413993,7.055537766,61.69969176,0.573949041,0.47418685,0.408783816,28.23750408,1.971156781,6.177418871,430.5400085,430.5400085,430.5400085,430.5400085,-1.472568452,1.472568452,FALSE,FALSE,FALSE,11.9564318,2.818583558,62,421.24,11,5,6,FALSE,0,2.88E-06,0,FALSE
MTCH,38.23,1,Actionable Momentum Candidate,Momentum Candidate,Clean,,REGULAR,38.23,,,,38.22999954,100,30,21,20,5,10,15,Stage 2,37.16999817,33.29016647,3.257874009,35.75444266,35.24083935,33.99802664,33.77788788,4.306503339,28.54741034,16.23593874,25.67389693,7.055537766,9.180400974,0.051725768,0.048987128,0.04836994,4.442881305,8.484670038,9.572944142,38.50999832,38.93500137,38.93500137,39.20000076,-0.727080736,2.474492862,FALSE,FALSE,FALSE,1.119499751,2.928327923,2300142,3538376.84,1,4,-3,FALSE,2.851766009,0.157195117,0,FALSE
NTCT,42.39,1,Actionable Momentum Candidate,Momentum Candidate,Clean,,REGULAR,42.39,,,,42.38999939,100,30,25,8,15,10,15,Stage 2,41.59000015,32.43433297,14.49701657,40.67318566,38.6767759,33.5726344,32.02724085,16.43136721,33.05084299,52.04447871,68.61575346,7.055537766,44.98894095,0.057354311,0.052466189,0.044330783,21.6910336,5.055764542,2.341866885,43.79999924,43.79999924,43.79999924,43.79999924,-3.21917779,3.21917779,FALSE,FALSE,FALSE,1.417143141,3.343107244,333576,647117.52,11,5,6,FALSE,1.923537471,0.366991304,0,FALSE
OPRA,19.69,1,Actionable Momentum Candidate,Momentum Candidate,Clean,,REGULAR,19.69,,,,19.69000053,100,30,25,20,11,7,15,Stage 2,18.85000038,15.47766679,6.678767283,18.49019365,17.80698454,16.48187826,16.3245153,7.921616105,45.95997678,35.60606001,5.463312553,7.055537766,28.55052224,0.026640869,0.024649276,0.022668523,9.893187111,5.746507232,8.305831703,19.87999916,19.87999916,19.87999916,21.05999947,-0.955727539,6.505218265,FALSE,FALSE,FALSE,0.819999967,4.164550254,377689,449999.78,4,2,2,FALSE,4.456234141,0.229066303,1,FALSE
PANW,329.28,1,Actionable Momentum Candidate,Momentum Candidate,Clean,,REGULAR,329.28,,,,329.2799988,100,30,25,20,15,10,15,Stage 2,304.2000122,197.601,8.063328027,282.7227299,250.2737392,211.9426787,205.830564,14.92261365,123.9695206,75.87864365,62.73599127,7.055537766,68.82310588,0.445520825,0.326727361,0.287386921,87.22173329,14.97206906,17.75981851,332.6400146,332.6400146,332.6400146,332.6400146,-1.010105736,1.010105736,FALSE,FALSE,FALSE,13.07215009,3.969919261,5661122,8078628.44,14,4,10,FALSE,8.244571192,-0.112238776,1,FALSE
PPLI,45.87,1,Actionable Momentum Candidate,Momentum Candidate,Clean,,REGULAR,45.87,,,,45.86999893,100,30,21,20,10,10,15,Stage 2,44.77000046,40.14333331,8.784607747,42.97350444,42.33973383,40.21889341,39.64858681,5.629883766,18.06949996,15.33819061,24.30893505,7.055537766,8.28265284,0.062062803,0.05847049,0.05532799,0.131025964,10.50349503,7.575045939,46.33000183,46.33000183,46.33000183,46.33000183,-0.992883404,0.992883404,FALSE,FALSE,FALSE,1.347358159,2.937340724,527885,1199677.7,9,6,3,FALSE,2.456999024,-0.043583478,1,FALSE
TBRG,26.175,1,Actionable Momentum Candidate,Momentum Candidate,Clean,,REGULAR,26.175,,,,26.17499924,100,30,21,20,11,10,15,Stage 2,26.20000076,21.83166685,9.494115716,26.03056521,24.91268292,22.67724382,22.2543377,11.45853029,86.03411375,18.65367122,10.81709698,7.055537766,11.59813345,0.03541517,0.034981197,0.03094218,12.28833461,0.248941498,0.210560475,26.21999931,26.51000023,26.51000023,26.51000023,-0.171625009,1.263677816,FALSE,FALSE,FALSE,0.049285344,0.188291672,139705,328998.1,2,0,2,FALSE,-0.095425669,-0.038190678,1,FALSE
XYZ,78.495,1,Actionable Momentum Candidate,Momentum Candidate,Clean,,REGULAR,78.495,,,,78.49500275,100,30,21,20,15,10,15,Stage 2,77.81999969,65.51633339,0.617890658,73.34606643,70.88484844,67.92132235,67.78803435,4.084806646,40.21972738,18.84178519,20.55752113,7.055537766,11.78624743,0.106204928,0.09765401,0.09745324,8.518637821,7.424391781,12.90996337,79.01000214,79.01000214,79.01000214,82.5,-0.651815436,4.854542125,FALSE,FALSE,FALSE,3.069641658,3.910620486,3092114,5912318.28,11,4,7,FALSE,0.867390201,0.815569139,0,FALSE
ZD,52.14,1,Actionable Momentum Candidate,Momentum Candidate,Clean,,REGULAR,52.14,,,,52.13999939,100,30,25,20,11,10,15,Stage 2,50.41999817,40.02733301,9.566867258,46.92107435,45.12784001,41.46573679,40.80615125,7.927785427,25.2161387,47.99886479,66.52826662,7.055537766,40.94332703,0.070546209,0.061716054,0.056037096,6.153656165,15.04854312,12.71076801,52.25,52.25,52.25,52.25,-0.210527484,0.210527484,FALSE,FALSE,FALSE,1.957499368,3.754314136,478636,609996.72,5,4,1,FALSE,3.411347249,1.007362395,0,FALSE
FA,17.9,1,Actionable Momentum Candidate,Momentum Candidate,Clean,,REGULAR,17.9,,,,17.89999962,100,22,21,20,15,7,15,Stage 2,17.81999969,13.5986666,3.42239976,16.40350873,15.2379137,14.18990233,14.2713488,4.795145359,60.53811866,16.84073091,8.947043737,7.055537766,9.785193142,0.024218971,0.020490748,0.019834868,40.67452282,10.97334501,8.550635943,18.07500076,18.07500076,18.07500076,18.54999924,-0.968194396,3.504041214,FALSE,FALSE,FALSE,0.771428926,4.309658894,943326,1501982.52,8,4,4,FALSE,0.448933362,-0.389536436,1,FALSE
